event_id,event_title,market_question,category,category_source,resolution,neg_risk,snap_7d_pre,snap_24h_pre,snap_final,break_confidence,market_volume_usd,wrong_side_exposure_usd,end_date,bracket_pattern,in_iran_cluster
10866,$GME market cap on Friday,$GME market cap between $8-10 billion on Friday?,Other,inferred,YES,True,,0.4750,0.0400,0.9600,8744.24,8394.47,2024-06-07,other,false
11101,Euro 2024: Group D Winner,Will Austria win Group D?,Other,inferred,YES,True,0.0450,0.0515,0.0565,0.9550,34302.88,32759.25,2024-06-26,other,false
10741,UK Election: Labour % of the vote?,Labour wins 30-35% of votes?,Politics,inferred,YES,True,0.0775,0.0700,0.0450,0.9550,31262.22,29855.42,2024-07-04,other,false
11241,How many seats will National Rally coalition win in French Election?,Will National Rally win less than 175 seats?,Politics,inferred,YES,True,0.0230,0.0350,0.0600,0.9770,43003.84,42014.76,2024-07-07,other,false
11416,British Grand Prix Winner,Will Lewis Hamilton win the British Grand Prix?,Other,inferred,YES,True,,0.0350,0.1730,0.9650,3776.99,3644.80,2024-07-07,other,false
11520,WSOP Main Event Winner,Will Jonathan Tamayo win the WSOP main event?,Other,inferred,YES,True,,0.0450,0.4945,0.9550,6439.00,6149.25,2024-07-17,other,false
11578,When will Biden drop out? ,Will Biden drop out on July 21?,Politics,inferred,YES,True,0.1450,0.0355,0.0355,0.9645,533552.09,514610.99,2024-07-26,other,false
11585,100m Breaststroke Winner (M),Will Nicolo Martinenghi (ITA) win Gold in Men's 100m Breaststroke?,Other,inferred,YES,True,,0.0250,0.0260,0.9750,141.01,137.49,2024-07-29,other,false
11718,"Will JD Vance say ""Couch"" before August?","Will JD Vance say ""Couch"" before August?",Other,inferred,YES,False,,0.0325,0.0130,0.9870,19125.16,18876.53,2024-07-31,other,false
11566,1500m Winner (M),Will Cole Hocker (USA) win Gold in 1500m?,Other,inferred,YES,True,0.0450,0.0325,0.0250,0.9750,23114.83,22536.96,2024-08-06,other,false
11581,200m Winner (M),Will Letsile Tebogo (BOT) win Gold in 200m?,Other,inferred,YES,True,0.0500,0.0550,0.1400,0.9500,61682.14,58598.04,2024-08-08,other,false
12046,Ukraine hits Moscow by August 31?,Ukraine hits Moscow by August 31?,Geopolitics,inferred,YES,False,0.0950,0.0200,0.0130,0.9870,214357.74,211571.08,2024-08-31,other,false
10187,Steelers' Week 1 starter?,Justin Fields Week 1 starter for Steelers?,Other,inferred,YES,True,0.0100,0.6305,0.9335,0.9900,39270.38,38877.68,2024-09-08,other,false
10187,Steelers' Week 1 starter?,Russell Wilson Week 1 starter for Steelers?,Other,inferred,NO,True,0.9920,0.3660,0.0600,0.9920,20905.58,20738.34,2024-09-08,other,false
12546,Caroline Ellison prison time?,Caroline Ellison sentenced to 24-35 months in prison?,Other,inferred,YES,True,0.0750,0.0650,0.0385,0.9615,148393.90,142680.73,2024-09-24,other,false
12361, Ballon d'Or Winner,Will Rodri win the Ballon d’Or?,Other,inferred,YES,True,0.0830,0.0410,0.0955,0.9590,807072.34,773982.37,2024-10-28,other,false
12425,How many jobs added in September?,US adds ore than 250k jobs in September?,Other,inferred,YES,True,0.0400,0.0390,0.0410,0.9610,64836.77,62308.13,2024-10-04,other,false
12918,Elon Musk # of tweets Sept 27- Oct 4?,Will Elon tweet 300 or more times?,Tech,inferred,YES,True,,0.1155,0.0180,0.9820,70709.01,69436.25,2024-10-04,musk_tweet_bracket,false
13201,Donald Trump # of tweets Oct 4-11?,Will Trump tweet 30-34 times October 4-11?,Politics,inferred,YES,True,,0.0400,0.2930,0.9600,34832.58,33439.28,2024-10-11,other,false
13300,CS2: Elisa Masters Espoo 2024 Winner,Will ENCE win the Elisa Masters Espoo 2024?,Other,inferred,YES,True,0.0400,0.0900,0.2000,0.9600,111004.25,106564.08,2024-10-20,other,false
13470,Trump vs. Harris polling margin Friday?    ,Will Kamala lead in RCP by 0-0.4 on Oct 25?,Politics,inferred,YES,True,0.0360,0.3230,0.5950,0.9640,148935.87,143574.18,2024-10-25,other,false
11792,Will Kamala Harris go on SNL?,Will Kamala Harris go on SNL?,Politics,inferred,YES,False,0.0770,0.0300,0.0185,0.9815,723146.93,709768.72,2024-11-02,other,false
12623,Pennsylvania Margin of Victory,Will the Republican candidate win Pennsylvania by 1.5%-2.0%? ,Politics,inferred,YES,True,0.0515,0.0415,0.0480,0.9585,693169.14,664402.62,2024-11-05,other,false
13952,The House Poker Night: Biggest Winner ,Will another player be the biggest winner of The House Poker Night?,Other,inferred,YES,True,,0.0750,0.0395,0.9605,42825.92,41134.30,2024-11-03,other,false
14008,Donald Trump # of tweets Nov 1-8?,Will Trump tweet 80-89 times Nov 1-8?,Politics,inferred,YES,True,,0.0020,0.5570,0.9980,39780.06,39700.50,2024-11-08,other,false
14091,Las Vegas Grand Prix Winner,Will George Russell win the 2024 Las Vegas Grand Prix?,Other,inferred,YES,True,0.0305,0.0945,0.2230,0.9695,150392.18,145805.22,2024-11-24,other,false
14190,Hawk Tuah token by Thanksgiving?,Hawk Tuah token by Thanksgiving?,Other,inferred,YES,False,0.1350,0.0345,0.0345,0.9655,188522.32,182018.30,2024-11-28,other,false
14649,Elon Musk # of tweets Nov 22-29?,Will Elon tweet 475-499 times Nov 22-29?,Tech,inferred,YES,True,,0.0360,0.4990,0.9640,127294.51,122711.90,2024-11-29,musk_tweet_bracket,false
15337,'Sonic 3' Opening Weekend Box Office,Will 'Sonic 3' gross between $56-64m on 3-day opening weekend?,Entertainment,inferred,YES,True,0.0255,0.2795,0.9825,0.9745,646850.75,630356.06,2024-12-23,other,false
15401,FIDE World Blitz Chess Champion,Will another person win the 2024 World Blitz Championship?,Other,inferred,YES,True,,0.0800,0.0355,0.9645,3719834.65,3587780.52,2024-12-31,other,false
15691,Steam Awards: Labor of Love,Will 'Elden Ring' win Labor of Love in the 2024 Steam Awards?,Other,inferred,YES,True,0.1150,0.0415,0.0230,0.9770,204232.94,199535.59,2024-12-31,other,false
15692,Steam Awards: Most Innovative Gameplay,Will 'Balatro' win Most Innovative Gameplay in the 2024 Steam Awards?,Other,inferred,NO,True,0.9150,0.9550,0.9550,0.9550,104859.21,100140.54,2024-12-31,other,false
15692,Steam Awards: Most Innovative Gameplay,Will 'Liar's Bar' win Most Innovative Gameplay in the 2024 Steam Awards?,Other,inferred,YES,True,0.0160,0.0055,0.0075,0.9945,82962.44,82506.15,2024-12-31,other,false
11997,Fantasy Football: Top RB 2024,Will Jahmyr Gibbs be the top Fantasy Running Back?,Other,inferred,YES,True,0.0115,0.0035,0.0035,0.9965,99734.11,99385.04,2025-01-07,other,false
11997,Fantasy Football: Top RB 2024,Will Saquon Barkley be the top Fantasy Running Back?,Other,inferred,NO,True,0.9650,0.9920,0.9920,0.9920,129351.15,128316.34,2025-01-07,other,false
15049,NFL Worst Record,Will the Tennessee Titans finish with the worst record in the NFL?,Sports,inferred,YES,True,0.0275,0.1820,0.1750,0.9725,31367.87,30505.26,2025-01-05,other,false
15936,Elon Musk # of tweets December 27-January 3?,Will Elon tweet 400-424 times Dec 27-Jan 3?,Tech,inferred,YES,True,,0.0060,0.0790,0.9940,680399.67,676317.28,2025-01-03,musk_tweet_bracket,false
16504,How many Executive Orders will Trump issue on Day 1?,Will Trump issue 25-29 executive orders on Day 1?,Politics,inferred,YES,True,0.0700,0.0500,0.0220,0.9780,707489.06,691924.30,2025-01-20,other,false
16535,Will all LA wildfires be fully contained before February?,Will all LA wildfires be fully contained before February?,Other,inferred,YES,False,0.3000,0.1400,0.0345,0.9655,234988.83,226881.71,2025-01-31,other,false
16549,Australian Open Winner (W),Will Madison Keys win the Australian Open?,Other,inferred,YES,True,0.0420,0.2350,0.2380,0.9580,53868.61,51606.13,2025-01-25,other,false
17397,Highest temperature in NYC on Jan 29?,Will the highest temperature in NYC be 52°F or higher on January 29?,Other,inferred,YES,True,,0.3500,0.0245,0.9755,7965.77,7770.60,2025-01-29,other,false
17458,Highest temperature in NYC on Jan 31?,Will the highest temperature in NYC be between 48-49°F on January 31?,Other,inferred,YES,True,,0.1000,0.0305,0.9695,38209.06,37043.69,2025-01-31,other,false
15442,Where will Jimmy Butler get traded?,Will Jimmy Butler get traded to the Golden State Warriors?,Other,inferred,YES,True,0.0610,0.0315,0.4765,0.9685,41392.98,40089.11,2025-02-06,other,false
16750,Freestyle Chess Grand Slam Weisenhaus Winner,Will Vincent Keymer win the 2025 Freestyle Chess Grand Slam Weissenhaus?,Sports,inferred,YES,True,0.0250,0.3775,0.7135,0.9750,80372.84,78363.52,2025-02-14,other,false
16842,Fastest Lap at F1 Winter Testing?,Will Williams record the fastest lap at 2025 F1 Winter Testing?,Sports,inferred,YES,True,0.0355,0.0400,0.2500,0.9645,39047.76,37661.57,2025-02-28,other,false
16986,Grammys: Best Country Song,"Will ""The Architect"" by Kacey Musgraves win Best Country Song?",Entertainment,inferred,YES,True,0.0400,0.0275,0.0285,0.9725,156126.73,151833.25,2025-02-02,other,false
17399,Margin of Victory,Will the Eagles win Super Bowl LIX by 16-18 points?,Sports,inferred,YES,True,0.0285,0.0295,0.0345,0.9715,3990.96,3877.22,2025-02-09,other,false
17401,How many times will Taylor Swift be shown on broadcast?,Taylor Swift shown on the Super Bowl LIX broadcast 1 time?,Sports,inferred,YES,True,0.0115,0.0125,0.0095,0.9905,29286.17,29007.95,2025-02-09,other,false
17513,Highest temperature in NYC on February 1?,Will the highest temperature in NYC be 46°F or higher on February 1?,Other,inferred,YES,True,,0.0305,0.1995,0.9695,34617.04,33561.22,2025-02-01,other,false
17554,Highest temperature in NYC on February 2?,Will the highest temperature in NYC be 32°F or below on February 2?,Other,inferred,YES,True,,0.0265,0.0060,0.9940,16687.21,16587.08,2025-02-02,other,false
17563,What price will Bitcoin hit in February?,"Will Bitcoin dip to $85,000 by February 28, 2025?",Crypto,inferred,YES,False,0.0340,0.2670,0.2670,0.9660,4737626.79,4576547.48,2025-02-28,crypto_price_bracket,false
17571,Trump (@POTUS) # of tweets Jan 31 - Feb 7?,Will POTUS tweet 17-19 times Jan 31 - Feb 7?,Politics,inferred,YES,True,,0.0345,0.4760,0.9655,7199.76,6951.36,2025-02-07,other,false
17881,Will DOGE bring back Marko Elez in February? ,Will DOGE bring back Marko Elez in February? ,Crypto,inferred,YES,False,0.0215,0.3305,0.3305,0.9785,29757.37,29117.58,2025-02-28,other,false
18403,SAG Award: Best Cast in a Comedy Series,"Will ""Only Murders in the Building"" win Best Cast in a Comedy Series at the 2025 SAG Awards?",Other,inferred,YES,True,0.0060,0.0115,0.0030,0.9970,74333.36,74110.36,2025-02-23,other,false
18429,Elon Musk # of tweets Feb 7-14? (Higher Options) ,Will Elon tweet 850-874 times Feb 7-14?,Tech,inferred,YES,True,,0.1750,0.0270,0.9730,529919.35,515611.53,2025-02-14,musk_tweet_bracket,false
18480,Highest temperature in London on February 15?,Will the highest temperature in London be between 43-44°F on February 15?,Other,inferred,YES,True,,0.1800,0.0170,0.9830,18942.34,18620.32,2025-02-15,other,false
18962,Highest temperature in London on February 19?,Will the highest temperature in London be between 45-46°F on February 19?,Other,inferred,YES,True,,0.3500,0.0475,0.9525,43644.56,41571.44,2025-02-19,other,false
19050,Highest temperature in London on February 22?,Will the highest temperature in London be between 57-58°F on February 22?,Other,inferred,YES,True,,0.0455,0.0800,0.9545,21323.44,20353.22,2025-02-22,other,false
19130,Highest temperature in NYC on Feb 23?,Will the highest temperature in NYC be between 47-48°F on February 23?,Other,inferred,YES,True,,0.0175,0.0140,0.9860,7893.90,7783.38,2025-02-23,other,false
19125,Which company has best AI model end of March?,Will Google have the top AI model on March 31?,Other,inferred,YES,True,0.0395,0.9800,0.9870,0.9605,667876.91,641495.77,2025-03-31,other,false
19592,How many Executive Orders will Trump sign in March?,Will Donald Trump sign 30 or more executive orders in March?,Politics,inferred,YES,True,0.0485,0.9965,0.9955,0.9515,31888.36,30341.77,2025-03-31,other,false
19604,Will Sydney Sweeney break up with her fiancé before April?,Will Sydney Sweeney break up with her fiancé before April?,Other,inferred,YES,False,0.0060,0.4350,0.5110,0.9940,341029.83,338983.65,2025-03-31,other,false
19635,Which agency will be most efficient end of March?,Will the Department of Health and Human Services be most efficient on March 31?,Other,inferred,YES,True,0.0055,0.8980,0.9285,0.9945,5608.67,5577.83,2025-03-31,other,false
19693,Highest temperature in NYC on March 1?,Will the highest temperature in NYC be 63°F or higher on March 1?,Other,inferred,YES,True,,0.0285,0.0140,0.9860,10824.81,10673.27,2025-03-01,other,false
20193,Who will applaud during Trump's address to Congress?,Will Bernie Sanders applaud during Trump's address to Congress?,Politics,inferred,YES,False,,,0.0250,0.9750,40592.72,39577.90,2025-03-04,other,false
20381,Highest temperature in London on March 7?,Will the highest temperature in London be 63°F or higher on March 7?,Other,inferred,YES,True,,0.0130,0.2170,0.9870,17622.75,17393.66,2025-03-07,other,false
20517,Highest temperature in London on March 10?,Will the highest temperature in London be between 54-55°F on March 10?,Other,inferred,YES,True,,0.0515,0.0155,0.9845,17264.05,16996.46,2025-03-10,other,false
20739,Will Strategy purchase Bitcoin Feb Mar 11-17?,Will Strategy purchase Bitcoin Feb Mar 11-17?,Crypto,inferred,YES,False,,0.2750,0.0175,0.9825,362198.23,355859.76,2025-03-17,other,false
20800,Original tribe of the Crypto: The Game S3 winner,Will Pink Tribe be the Crypto the Game Season 3 winner?,Crypto,inferred,YES,True,0.4950,0.0345,0.1745,0.9655,1494.73,1443.16,2025-03-19,other,false
21244,China Grand Prix - Sprint Winner,Will Lewis Hamilton win the 2025 Chinese Grand Prix Sprint?,Other,inferred,YES,True,,0.0170,0.2545,0.9830,44255.65,43503.31,2025-03-22,other,false
21346,Solana above $130 on March 28?,Solana above $130 on March 28?,Crypto,inferred,NO,False,,0.8050,0.9650,0.9650,1890359.02,1824196.45,2025-03-28,crypto_price_bracket,false
21358,Highest temperature in NYC on March 25?,Will the highest temperature in NYC be 59°F or higher on March 25?,Other,inferred,YES,True,,0.0335,0.0490,0.9665,34671.20,33509.72,2025-03-25,other,false
21762,Highest temperature in NYC on March 30?,Will the highest temperature in NYC be between 45-46°F on March 30?,Other,inferred,YES,True,,0.0300,0.0110,0.9890,34738.33,34356.20,2025-03-30,other,false
16446,Browns First Pick?,Will the Browns draft Mason Graham?,Other,inferred,YES,True,0.0135,0.0050,0.0025,0.9975,2624.10,2617.54,2025-04-24,other,false
16448,Jaguars First Pick?,Will the Jaguars draft Travis Hunter?,Other,inferred,YES,True,0.0165,0.0140,0.3950,0.9860,2955.62,2914.25,2025-04-24,other,false
17437,Which countries will Trump tariff in first 100 days?,Will Trump impose tariffs on Brazil in the first 100 days?,Politics,inferred,YES,False,0.0280,0.0375,0.0210,0.9790,151291.91,148114.78,2025-04-29,other,false
17698,Will Trump increase tariffs on Mexico before May?,Will Trump increase tariffs on Mexico before May?,Politics,inferred,YES,False,0.0580,0.0140,0.9775,0.9860,1186485.74,1169874.94,2025-04-30,other,false
17699,Will Trump increase tariffs on Canada before May?,Will Trump increase tariffs on Canada before May?,Politics,inferred,YES,False,0.0440,0.0275,0.9495,0.9725,761450.34,740510.45,2025-04-30,other,false
18490,Price of dozen eggs in March?,Will egg prices be more than $6.00 in March?,Other,inferred,YES,True,0.0850,0.0500,0.0505,0.9500,794582.91,754853.76,2025-04-10,other,false
20752,Which team will draft Travis Hunter?,Will the Jaguars draft Travis Hunter in 2025?,Other,inferred,YES,True,0.0255,0.0020,0.4790,0.9980,12943.49,12917.60,2025-04-24,other,false
20769,3rd QB taken in 2025 NFL Draft? ,Will Tyler Shough be the third QB taken in the 2025 NFL Draft?,Sports,inferred,YES,True,0.0150,0.0590,0.1200,0.9850,9152.07,9014.79,2025-04-25,other,false
21598,Will Pierre Poilievre lose his seat?,Will Pierre Poilievre lose his seat?,Other,inferred,YES,False,0.0435,0.1090,0.0605,0.9565,918482.07,878528.10,2025-04-28,other,false
21944,April 2025 Temperature Increase (ºC),Will global temperature increase by between 1.22-1.26ºC in April 2025?,Other,inferred,YES,True,0.0290,0.1935,0.1210,0.9710,158129.17,153543.42,2025-04-30,other,false
21946,Trump x Ukraine mineral deal signed before May?,Trump x Ukraine mineral deal signed before May?,Politics,inferred,YES,False,0.3950,0.2150,0.0180,0.9820,6833523.78,6710520.35,2025-04-30,other,false
22029,Elon Musk Net Worth on April 30?,Will Elon Musk's net worth be between $330b and $340b on April 30?,Tech,inferred,YES,True,0.0425,0.2355,0.7025,0.9575,44377.67,42491.62,2025-04-30,other,false
22164,Highest temperature in NYC on April 4?,Will the highest temperature in NYC be 74°F or higher on April 4?,Other,inferred,YES,True,,0.2500,0.0500,0.9500,7325.21,6958.95,2025-04-04,other,false
22422,Highest temperature in London on April 9?,Will the highest temperature in London be between 54-55°F on April 9?,Other,inferred,YES,True,,0.0450,0.0400,0.9600,14641.00,14055.36,2025-04-09,other,false
22488,Highest temperature in London on April 10?,Will the highest temperature in London be between 58-59°F on April 10?,Other,inferred,YES,True,,0.0450,0.4100,0.9550,23907.83,22831.97,2025-04-10,other,false
22640,Ecuador Presidential Election Margin of Victory,Will Daniel Noboa win by 8% or more?,Politics,inferred,YES,True,,0.0300,0.0125,0.9875,2022.95,1997.67,2025-04-13,other,false
22666,Australia Election: # of Seats Margin of Victory?,Will the Labor Party win by 40 or more seats?,Politics,inferred,YES,True,0.0315,0.0665,0.0525,0.9685,87865.59,85097.82,2025-05-03,other,false
22669,Will courts block Trump's tariffs before June?,Will courts block Trump's tariffs before June?,Politics,inferred,YES,False,0.0445,0.9990,0.9990,0.9555,153986.04,147133.66,2025-05-31,other,false
23703, Elon Musk out as Senior Advisor to Trump in May?, Elon Musk out as Senior Advisor to Trump in May?,Politics,inferred,YES,False,0.0395,0.9940,0.9940,0.9605,123528.15,118648.78,2025-05-31,other,false
23788,Ethereum price on May 9?,Will the price of Ethereum be greater than $2000 on May 9?,Crypto,inferred,YES,True,,0.0180,0.9710,0.9820,696277.93,683744.93,2025-05-09,other,false
23822,Highest temperature in NYC on May 6?,Will the highest temperature in NYC be between 67-68°F on May 6?,Other,inferred,YES,True,,0.2450,0.0255,0.9745,24376.25,23754.66,2025-05-06,other,false
23991,Which Team Wins the NBA Draft Lottery?,Will the Dallas Mavericks win the NBA Draft Lottery?,Sports,inferred,YES,True,,0.2500,0.0150,0.9850,1581.00,1557.29,2025-05-12,other,false
24008, US military action on Yemen before June?, US military action on Yemen before June?,Other,inferred,YES,False,0.0370,0.8085,0.8085,0.9630,109658.81,105601.43,2025-05-31,other,true
24072,NBA 2025 Finals Matchup,Will Pacers vs. Thunder be the 2025 NBA Finals matchup?,Sports,inferred,YES,True,,0.0400,0.0850,0.9600,330421.08,317204.23,2025-05-13,other,false
24088,Will Han Duck-soo register for presidential run?,Will Han Duck-soo register for presidential run?,Politics,inferred,NO,False,,0.9855,0.0105,0.9855,310401.85,305901.02,2025-05-11,other,false
24153,2025 IIHF World Championship,Will United States win the 2025 IIHF World Championship?,Other,inferred,YES,True,0.0385,0.1555,0.5315,0.9615,52612.74,50587.15,2025-05-25,other,false
24158,Highest temperature in London on May 12?,Will the highest temperature in London be between 76-77°F on May 12?,Other,inferred,YES,True,,0.1150,0.0060,0.9940,27088.71,26926.18,2025-05-12,other,false
24421,Highest temperature in London on May 15?,Will the highest temperature in London be 58°F or below on May 15?,Other,inferred,YES,True,,0.1000,0.0205,0.9795,21301.63,20864.94,2025-05-15,other,false
24444,"""Lilo & Stitch"" Opening Weekend Box Office",Will 'Lilo & Stitch' gross between $140-150m opening weekend?,Entertainment,inferred,YES,True,0.1300,0.0500,0.1090,0.9500,217895.70,207000.92,2025-05-23,other,false
25291,Highest temperature in London on May 29?,Will the highest temperature in London be 77°F or higher on May 29?,Other,inferred,YES,True,,0.0450,0.0060,0.9940,29165.05,28990.06,2025-05-29,other,false
21300,Trump's birthright citizenship ban unblocked before July?,Trump's birthright citizenship ban unblocked before July?,Politics,inferred,YES,False,0.0295,0.9955,0.9955,0.9705,131252.22,127380.28,2025-06-30,other,false
21369,Barron Trump public statement before July?,Barron Trump public statement before July?,Politics,inferred,YES,False,0.0395,0.0395,0.0395,0.9605,211397.54,203047.33,2025-06-30,other,false
25222,Giro d'Italia 2025 Winner ,Will Simon Yates win the Giro d’Italia 2025?,Other,inferred,YES,True,,0.0160,0.9885,0.9840,4209.75,4142.40,2025-06-01,other,false
25537,"Bitcoin above $105,000 on June 6?","Bitcoin above $105,000 on June 6?",Crypto,inferred,YES,False,,0.4500,0.0345,0.9655,3567234.53,3444164.94,2025-06-06,crypto_price_bracket,false
25588,10-year Treasury yield >4.5% Friday?,10-year Treasury yield >4.5% Friday?,Macro,inferred,YES,False,,0.3550,0.0330,0.9670,98589.69,95336.23,2025-06-06,other,false
25677,F1 Canadian Grand Prix Winner ,Will George Russell win the 2025 Canadian Grand Prix?,Sports,inferred,YES,True,0.0500,0.0400,0.0695,0.9600,104372.34,100197.44,2025-06-15,other,false
25684,F1 Canadian Grand Prix: Pole Winner ,Will George Russell win the 2025 Canadian GP pole?,Sports,inferred,YES,True,0.0550,0.0410,0.1320,0.9590,34658.38,33237.38,2025-06-15,other,false
25936,Elon Musk # of tweets May 30 - June 6? (Higher Brackets),Will Elon tweet 320–334 times May 30–June 6?,Tech,inferred,YES,True,,0.0185,0.0810,0.9815,421195.87,413403.75,2025-06-06,musk_tweet_bracket,false
26232,Trump approval rating on June 13?,Will Trump's approval rating be between 45.0% and 45.4% on June 13?,Politics,inferred,YES,True,,0.0400,0.2050,0.9600,35743.31,34313.58,2025-06-13,other,false
26309,Queen Anne Stakes Winner ,Will Docklands win the 2025 Queen Anne Stakes?,Other,inferred,YES,True,0.0500,0.0550,0.2500,0.9500,3086.71,2932.38,2025-06-18,other,false
26878,NYC Mayoral Dem Primary MOV,Will Zohran Mamdani’s RCV margin of victory be greater than 9% in the New York City Mayoral Democratic Primary?,Politics,inferred,YES,True,0.1220,0.0160,0.1245,0.9840,269703.88,265388.62,2025-06-24,other,false
26939,Highest temperature in NYC on June 17?,Will the highest temperature in New York City be 67°F or below on June 17?,Other,inferred,YES,True,,0.2515,0.0390,0.9610,7948.55,7638.56,2025-06-17,other,false
27131,Trump approval rating on June 20?,Will Trump's approval rating be between 46.0% and 46.4% on June 20?,Politics,inferred,YES,True,,0.0130,0.1090,0.9870,32163.05,31744.93,2025-06-20,other,false
27135,Will Trump sign an executive order on...? (June 14-20),Will Donald Trump sign an executive order on June 16?,Politics,inferred,YES,False,,0.0140,0.0140,0.9860,16482.23,16251.48,2025-06-20,other,false
27205,PGA TOUR: Travelers Championship Winner ,Will Keegan Bradley win the 2025 Travelers Championship?,Sports,inferred,YES,True,,0.0270,0.1715,0.9730,177479.29,172687.35,2025-06-23,other,false
27239,Highest temperature in NYC on June 18?,Will the highest temperature in New York City be between 85-86°F on June 18?,Other,inferred,YES,True,,0.2200,0.0085,0.9915,10929.18,10836.28,2025-06-18,other,false
27513,NASCAR The Great American Getaway 400 Winner ,Will Chase Briscoe win The Great American Getaway 400?,Other,inferred,YES,True,,0.0310,0.0320,0.9690,11717.15,11353.92,2025-06-22,other,false
27595,Solana Up or Down on June 20?,Solana Up or Down on June 20?,Crypto,inferred,NO,False,,0.5000,0.9665,0.9665,176184.88,170282.69,2025-06-20,other,false
27833,LIV Golf Dallas Winner ,Will Patrick Reed win the 2025 LIV Golf Dallas tournament?,Sports,inferred,YES,True,,0.0360,0.2140,0.9640,5754.19,5547.04,2025-06-29,other,false
27846,US military action against Iran by Saturday?,US military action against Iran by Saturday?,Geopolitics,inferred,YES,False,,0.0950,0.0430,0.9570,4480426.71,4287768.37,2025-06-21,other,true
27885,Highest temperature in NYC on June 22?,Will the highest temperature in New York City be 89°F or below on June 22?,Other,inferred,YES,True,,0.0110,0.0150,0.9890,8940.93,8842.58,2025-06-22,other,false
28241,FIFA Club World Cup: Auckland City vs. Boca Juniors ,Will Boca Juniors beat Auckland City?,Sports,inferred,NO,True,,,0.9645,0.9645,301751.29,291039.12,2025-06-24,other,false
22038,Elon Musk tweets 25+ times Thursday?,Elon Musk tweets 25+ times Thursday?,Tech,inferred,YES,False,,0.6350,0.0350,0.9650,42004.48,40534.32,2025-07-25,musk_tweet_bracket,false
25999,FIFA Club World Cup: Golden Ball Winner ,Will Cole Palmer win the Golden Ball at the 2025 FIFA Club World Cup?,Sports,inferred,YES,True,0.0225,0.0640,0.0675,0.9775,6699.65,6548.90,2025-07-13,other,false
26238,June Unemployment Rate,Will the June 2025 unemployment rate be 4.1%?,Macro,inferred,YES,True,0.0335,0.0335,0.0430,0.9665,39417.77,38097.27,2025-07-03,other,false
26447,Freestyle Chess Lands in Las Vegas,Will Levon Aronian win the 2025 Freestyle Chess Lands in Las Vegas tournament?,Other,inferred,YES,True,0.0155,0.1745,0.4095,0.9845,89241.97,87858.71,2025-07-20,other,false
28457,Will either Cuomo or Mamdani concede by..?,Will either Cuomo or Mamdani concede by Wednesday?,Other,inferred,YES,False,0.0355,0.0355,0.0355,0.9645,267238.77,257751.79,2025-07-05,other,false
28651,Megaquake before August?,Megaquake before August?,Other,inferred,YES,False,0.0235,0.0065,0.9980,0.9935,1373180.54,1364254.86,2025-07-31,other,false
29380,Ethereum price on July 4?,Will the price of Ethereum be greater than $2500 on July 4?,Crypto,inferred,NO,True,,0.8850,0.9805,0.9805,1086088.01,1064909.30,2025-07-04,other,false
