rank,event_title,market_question,category,resolution,break_confidence,wrong_side_exposure_usd,market_volume_usd,end_date,surprise_type,surprise_subtype,verification_status,pre_event_signal,analyst_note
14,"Elon Musk # tweets December 30 - January 6, 2026?","Will Elon Musk post 520-539 tweets from December 30 to January 6, 2026?",Tech,YES,99.6%,"2,101,052","2,110,549",2026-01-06,model failure,negRisk count bracket compression,proposed,Historical tweet counts public.,Recurring pattern
15,Will Trump meet with Zelenskyy by...?,Will Trump meet with Zelenskyy by December 31?,Politics,YES,96.7%,"2,005,031","2,074,528",2025-12-31,information-asymmetric,diplomatic timing,needs review,Diplomatic meetings often signaled in private channels before public confirmation.,for specific date and context
16,"Elon Musk # tweets February 3 - February 10, 2026?","Will Elon Musk post 360-379 tweets from February 3 to February 10, 2026?",Tech,YES,100.0%,"1,994,646","1,995,643",2026-02-10,model failure,negRisk count bracket compression,proposed,Historical tweet counts public.,Recurring pattern. snap_final=1.000 confidence
17,Total commitments for the Solomon public sale on MetaDAO,Over $80M committed to the Solomon public sale?,Other,YES,95.3%,"1,931,841","2,027,116",2026-01-01,,,UNCLASSIFIED - needs review,,
18,"Elon Musk # tweets January 30 - February 6, 2026?","Will Elon Musk post 280-299 tweets from January 30 to February 6, 2026?",Tech,YES,96.5%,"1,848,339","1,915,377",2026-02-06,model failure,negRisk count bracket compression,proposed,Historical tweet counts public.,Recurring pattern
19,Solana above $130 on March 28?,Solana above $130 on March 28?,Crypto,NO,96.5%,"1,824,196","1,890,359",2025-03-28,exogenous shock,price threshold,needs review,Public SOL price feeds available.,Resolution was NO; market was at 96.5% YES that SOL would be above $130
20,"Elon Musk # tweets January 2 - January 9, 2026?","Will Elon Musk post 560-579 tweets from January 2 to January 9, 2026?",Tech,YES,98.4%,"1,820,114","1,850,650",2026-01-09,model failure,negRisk count bracket compression,proposed,Historical tweet counts public.,Recurring pattern
21,What price will Ethereum hit in January?,"Will Ethereum dip to $2,400 in January?",Crypto,YES,98.2%,"1,673,479","1,703,286",2026-02-01,model failure,price threshold bracket,needs review,Public price feeds.,Same as Bitcoin January case
22,"Elon Musk # tweets February 24 - March 3, 2026?","Will Elon Musk post 200-219 tweets from February 24 to March 3, 2026?",Tech,YES,99.2%,"1,545,411","1,557,874",2026-03-03,model failure,negRisk count bracket compression,proposed,Historical tweet counts public.,Recurring pattern
23,"Elon Musk # tweets February 6 - February 13, 2026?","Will Elon Musk post 360-379 tweets from February 6 to February 13, 2026?",Tech,YES,96.8%,"1,445,166","1,492,940",2026-02-13,model failure,negRisk count bracket compression,proposed,Historical tweet counts public.,Recurring pattern
24,Bitcoin above ___ on February 1?,"Will the price of Bitcoin be above $78,000 on February 1?",Crypto,NO,97.4%,"1,406,198","1,443,736",2026-02-01,model failure,price threshold bracket,needs review,Public price feeds.,
25,"Elon Musk # tweets December 2 - December 9, 2025?","Will Elon Musk post 420-439 tweets from December 2 to December 9, 2025?",Tech,YES,99.6%,"1,394,753","1,401,058",2025-12-09,model failure,negRisk count bracket compression,proposed,Historical tweet counts public.,Recurring pattern
26,Who will be the next Pope?,Will Robert Francis Prevost be the next pope?,Other,YES,98.5%,"1,393,946","1,415,174",2025-12-31,information-asymmetric,private institutional decision,needs review,Papal conclaves are sealed; public speculation has weak signal.,Implies the Pope died and conclave outcome was a surprise
27,Megaquake before August?,Megaquake before August?,Other,YES,99.4%,"1,364,255","1,373,181",2025-07-31,exogenous shock,natural disaster,needs review,Seismic forecasting has limited public pre-event signal.,for actual event identification. The 'YES' resolution at 99.4% NO confidence is unusual
28,What price will Solana hit in January?,Will Solana dip to $100 in January?,Crypto,YES,99.2%,"1,256,297","1,265,790",2026-02-01,exogenous shock,price threshold,verified,SOL fell to $100 in January despite market at 99.3% NO that it would.,via earlier analysis. Classic exogenous shock on crypto price
29,"Elon Musk # tweets November 7 - November 14, 2025?","Will Elon Musk post 240-259 tweets from November 7 to November 14, 2025?",Tech,YES,98.8%,"1,224,962","1,239,840",2025-11-14,model failure,negRisk count bracket compression,proposed,Historical tweet counts public.,Recurring pattern
30,Will Trump increase tariffs on Mexico before May?,Will Trump increase tariffs on Mexico before May?,Politics,YES,98.6%,"1,169,875","1,186,486",2025-04-30,information-asymmetric,policy announcement timing,needs review,Executive policy decisions often have low public pre-event signal.,
31,Bitcoin above ___ on March 4?,"Will the price of Bitcoin be above $72,000 on March 4?",Crypto,YES,95.9%,"1,168,837","1,219,444",2026-03-04,model failure,price threshold bracket,needs review,Public price feeds.,
32,Which artists will release a new song before 2026?,Will SZA release a new song in 2025?,Entertainment,YES,98.0%,"1,167,884","1,192,326",2025-12-31,information-asymmetric,private release decision,proposed,Industry signals exist but artist decisions are private.,Likely information-asymmetric
33,"Elon Musk # tweets November 11 - November 18, 2025?","Will Elon Musk post 260-279 tweets from November 11 to November 18, 2025?",Tech,YES,98.0%,"1,131,697","1,155,383",2025-11-18,model failure,negRisk count bracket compression,proposed,Historical tweet counts public.,Recurring pattern
34,Ethereum price on July 4?,Will the price of Ethereum be greater than $2500 on July 4?,Crypto,NO,98.0%,"1,064,909","1,086,088",2025-07-04,model failure,price threshold bracket,needs review,Public price feeds.,
35,"Elon Musk # tweets November 25 - December 2, 2025?","Will Elon Musk post 260-279 tweets from November 25 to December 2, 2025?",Tech,YES,95.4%,"1,061,365","1,112,542",2025-12-02,model failure,negRisk count bracket compression,proposed,Historical tweet counts public.,Recurring pattern
36,"Elon Musk # tweets February 7 - February 9, 2026?","Will Elon Musk post 115-139 tweets from February 7 to February 9, 2026?",Tech,YES,98.2%,"979,365","997,825",2026-02-09,model failure,negRisk count bracket compression,proposed,Historical tweet counts public; 3-day bracket.,Variant pattern
37,Total commitments for the Solomon public sale on MetaDAO,Over $100M committed to the Solomon public sale?,Other,YES,98.1%,"935,373","953,489",2026-01-01,,,UNCLASSIFIED - needs review,,
38,Bitcoin above ___ on August 22?,Bitcoin above $116K on August 22?,Crypto,YES,99.7%,"922,373","925,149",2025-08-22,model failure,price threshold bracket,needs review,Public price feeds.,
39,Will Pierre Poilievre lose his seat?,Will Pierre Poilievre lose his seat?,Other,YES,95.7%,"878,528","918,482",2025-04-28,information-asymmetric,political upset,needs review,Riding-level polling may have signaled vulnerability that head-of-party markets ignored.,Canadian political upset.  for date and context
40,"Elon Musk # tweets December 5 - December 12, 2025?","Will Elon Musk post 440-459 tweets from December 5 to December 12, 2025?",Tech,YES,99.4%,"878,281","883,582",2025-12-12,model failure,negRisk count bracket compression,proposed,Historical tweet counts public.,Recurring pattern
